,diff,y,x,band,spatial_ref,elevation_rema,geometry,index_icesat2,latitude,longitude,velocity,date,elevation_icesat2,dist
133881,1.4664878845214844,-1855166.918367347,1844912.2309542904,1,0,27.47632,POINT (1844912.2309542904 -1855166.918367347),1047443,-66.25201955955642,135.1586026906243,,2022-01-09,28.942808151245117,11.701340565540617
133882,1.4849796295166016,-1855166.918367347,1844941.7032878909,1,0,27.457829,POINT (1844941.7032878909 -1855166.918367347),1047443,-66.25201955955642,135.1586026906243,,2022-01-09,28.942808151245117,17.797470325675942
135130,1.6688709259033203,-1855197.4571428571,1844971.1756214916,1,0,27.371162,POINT (1844971.1756214916 -1855197.4571428571),1047445,-66.25148686052707,135.15845330809213,,2022-01-09,29.0400333404541,6.823824681074937
136377,1.5953330993652344,-1855227.9959183673,1844971.1756214916,1,0,27.4447,POINT (1844971.1756214916 -1855227.9959183673),1047445,-66.25148686052707,135.15845330809213,,2022-01-09,29.0400333404541,23.716410783409323
136378,1.726104736328125,-1855227.9959183673,1845000.6479550924,1,0,27.419222,POINT (1845000.6479550924 -1855227.9959183673),1047447,-66.25095456310697,135.1583034325785,,2022-01-09,29.145326614379883,22.947661389539707
136379,1.4468631744384766,-1855227.9959183673,1845030.1202886929,1,0,27.698463,POINT (1845030.1202886929 -1855227.9959183673),1047447,-66.25095456310697,135.1583034325785,,2022-01-09,29.145326614379883,18.24925948867715
137625,1.6694622039794922,-1855258.5346938774,1845000.6479550924,1,0,27.475864,POINT (1845000.6479550924 -1855258.5346938774),1047447,-66.25095456310697,135.1583034325785,,2022-01-09,29.145326614379883,24.318711908878573
137626,1.2559947967529297,-1855258.5346938774,1845030.1202886929,1,0,27.889332,POINT (1845030.1202886929 -1855258.5346938774),1047447,-66.25095456310697,135.1583034325785,,2022-01-09,29.145326614379883,19.94592834498144
137627,1.4595451354980469,-1855258.5346938774,1845059.5926222936,1,0,27.749395,POINT (1845059.5926222936 -1855258.5346938774),1047449,-66.25042258746403,135.15815359721438,,2022-01-09,29.208940505981445,22.503479874901064
138874,1.3429718017578125,-1855289.0734693878,1845059.5926222936,1,0,27.865969,POINT (1845059.5926222936 -1855289.0734693878),1047449,-66.25042258746403,135.15815359721438,,2022-01-09,29.208940505981445,11.028196834951153
138875,1.5049495697021484,-1855289.0734693878,1845089.0649558941,1,0,27.70399,POINT (1845089.0649558941 -1855289.0734693878),1047449,-66.25042258746403,135.15815359721438,,2022-01-09,29.208940505981445,24.73916926117808
138876,1.3762855529785156,-1855289.0734693878,1845118.5372894949,1,0,27.901857,POINT (1845118.5372894949 -1855289.0734693878),1047451,-66.24989037763062,135.15800356714317,,2022-01-09,29.27814292907715,29.399380849456612
140122,1.4264259338378906,-1855319.612244898,1845089.0649558941,1,0,27.851717,POINT (1845089.0649558941 -1855319.612244898),1047451,-66.24989037763062,135.15800356714317,,2022-01-09,29.27814292907715,24.362871002431394
140123,1.411996841430664,-1855319.612244898,1845118.5372894949,1,0,27.866146,POINT (1845118.5372894949 -1855319.612244898),1047451,-66.24989037763062,135.15800356714317,,2022-01-09,29.27814292907715,5.402931788848726
141371,1.4915447235107422,-1855350.1510204081,1845148.0096230954,1,0,27.816895,POINT (1845148.0096230954 -1855350.1510204081),1047453,-66.2493583785285,135.15784263347055,,2022-01-09,29.308439254760742,14.144010385512699
141372,1.4552764892578125,-1855350.1510204081,1845177.4819566961,1,0,27.853163,POINT (1845177.4819566961 -1855350.1510204081),1047453,-66.2493583785285,135.15784263347055,,2022-01-09,29.308439254760742,17.272279657569776
142618,1.6548938751220703,-1855380.6897959183,1845148.0096230954,1,0,27.653545,POINT (1845148.0096230954 -1855380.6897959183),1047453,-66.2493583785285,135.15784263347055,,2022-01-09,29.308439254760742,28.324870478625996
142620,1.4801445007324219,-1855380.6897959183,1845206.9542902966,1,0,27.741611,POINT (1845206.9542902966 -1855380.6897959183),1047455,-66.24882539797598,135.15769350456682,,2022-01-09,29.221755981445312,12.962859741334611
